comment,case_folding,cleaning,normalisasi,tokenisasi,stopword_removal,stemming,score,sentiment_label,sentiment_encoded
"saldo ada kepotong gak bang.?
saya saldo kepotong tp uang gak ada klwr...","saldo ada kepotong gak bang.?
saya saldo kepotong tp uang gak ada klwr...","saldo ada kepotong gak bang
saya saldo kepotong tp uang gak ada klwr",saldo ada kepotong tidak abang saya saldo kepotong otp uang tidak ada klwr,"['saldo', 'ada', 'kepotong', 'tidak', 'abang', 'saya', 'saldo', 'kepotong', 'otp', 'uang', 'tidak', 'ada', 'klwr']","['saldo', 'kepotong', 'tidak', 'abang', 'saldo', 'kepotong', 'otp', 'uang', 'tidak', 'klwr']","['saldo', 'potong', 'tidak', 'abang', 'saldo', 'potong', 'otp', 'uang', 'tidak', 'klwr']",-2,Negatif,0
padahal BSI harapan umat islam amanah,padahal bsi harapan umat islam amanah,padahal bsi harapan umat islam amanah,padahal bsi harapan umat islam amanah,"['padahal', 'bsi', 'harapan', 'umat', 'islam', 'amanah']","['harapan', 'umat', 'islam', 'amanah']","['harap', 'umat', 'islam', 'amanah']",3,Positif,1
gmn solusinya ni😭,gmn solusinya ni😭,gmn solusinya ni,bagaimana solusinya nih,"['bagaimana', 'solusinya', 'nih']","['solusinya', 'nih']","['solusi', 'nih']",1,Positif,1
"bg saya juga gtuu teman saya ngrm uang ke bsi saya gk masuk masuk bg,itupun 400rb,dari bsi ke bri juga bg 200rb gimana solusi nya bg?jdi takut","bg saya juga gtuu teman saya ngrm uang ke bsi saya gk masuk masuk bg,itupun 400rb,dari bsi ke bri juga bg 200rb gimana solusi nya bg?jdi takut",bg saya juga gtuu teman saya ngrm uang ke bsi saya gk masuk masuk bgitupun rbdari bsi ke bri juga bg rb gimana solusi nya bgjdi takut,bug saya juga begitu teman saya ngrm uang ke bsi saya tidak masuk masuk bgitupun rbdari bsi ke bri juga bug ribu bagaimana solusi ya bgjdi takut,"['bug', 'saya', 'juga', 'begitu', 'teman', 'saya', 'ngrm', 'uang', 'ke', 'bsi', 'saya', 'tidak', 'masuk', 'masuk', 'bgitupun', 'rbdari', 'bsi', 'ke', 'bri', 'juga', 'bug', 'ribu', 'bagaimana', 'solusi', 'ya', 'bgjdi', 'takut']","['bug', 'teman', 'ngrm', 'uang', 'tidak', 'masuk', 'masuk', 'bgitupun', 'rbdari', 'bri', 'bug', 'ribu', 'solusi', 'bgjdi', 'takut']","['bug', 'teman', 'ngrm', 'uang', 'tidak', 'masuk', 'masuk', 'bgitupun', 'rbdari', 'bri', 'bug', 'ribu', 'solusi', 'bgjdi', 'takut']",-2,Negatif,0
"wah sama ..kejadian tgl 1, ayahnya transfer ke anaknya...anaknya report ga ada uang masuk. padahal dari BCA ke BSI laporan berhasil. tapi duit ga masuk","wah sama ..kejadian tgl 1, ayahnya transfer ke anaknya...anaknya report ga ada uang masuk. padahal dari bca ke bsi laporan berhasil. tapi duit ga masuk",wah sama kejadian tgl  ayahnya transfer ke anaknyaanaknya report ga ada uang masuk padahal dari bca ke bsi laporan berhasil tapi duit ga masuk,wah sama kejadian tanggal ayahnya transfer ke anaknyaanaknya report tidak ada uang masuk padahal dari baca ke bsi laporan berhasil tapi uang tidak masuk,"['wah', 'sama', 'kejadian', 'tanggal', 'ayahnya', 'transfer', 'ke', 'anaknyaanaknya', 'report', 'tidak', 'ada', 'uang', 'masuk', 'padahal', 'dari', 'baca', 'ke', 'bsi', 'laporan', 'berhasil', 'tapi', 'uang', 'tidak', 'masuk']","['kejadian', 'tanggal', 'ayahnya', 'transfer', 'anaknyaanaknya', 'report', 'tidak', 'uang', 'masuk', 'baca', 'laporan', 'berhasil', 'uang', 'tidak', 'masuk']","['jadi', 'tanggal', 'ayah', 'transfer', 'anaknyaanaknya', 'report', 'tidak', 'uang', 'masuk', 'baca', 'lapor', 'hasil', 'uang', 'tidak', 'masuk']",-3,Negatif,0
"kalau tf pakai transaksi online..aku msh pake aplikasi bsi mobil tetap aman, gak mau pindah ke byond","kalau tf pakai transaksi online..aku msh pake aplikasi bsi mobil tetap aman, gak mau pindah ke byond",kalau tf pakai transaksi onlineaku msh pake aplikasi bsi mobil tetap aman gak mau pindah ke byond,kalau transfer pakai transaksi onlineaku masih pakai aplikasi bsi mobile tetap aman tidak mau pindah ke byond,"['kalau', 'transfer', 'pakai', 'transaksi', 'onlineaku', 'masih', 'pakai', 'aplikasi', 'bsi', 'mobile', 'tetap', 'aman', 'tidak', 'mau', 'pindah', 'ke', 'byond']","['transfer', 'pakai', 'transaksi', 'onlineaku', 'pakai', 'aplikasi', 'mobile', 'aman', 'tidak', 'pindah']","['transfer', 'pakai', 'transaksi', 'onlineaku', 'pakai', 'aplikasi', 'mobile', 'aman', 'tidak', 'pindah']",-1,Negatif,0
"sampai hari ini masih error pak, saya barusan bayar hasanah card, transaksi gagal saldo terpotong. membingungkan","sampai hari ini masih error pak, saya barusan bayar hasanah card, transaksi gagal saldo terpotong. membingungkan",sampai hari ini masih error pak saya barusan bayar hasanah card transaksi gagal saldo terpotong membingungkan,sampai hari ini masih error pak saya barusan bayar hasanah card transaksi gagal saldo terpotong membingungkan,"['sampai', 'hari', 'ini', 'masih', 'error', 'pak', 'saya', 'barusan', 'bayar', 'hasanah', 'card', 'transaksi', 'gagal', 'saldo', 'terpotong', 'membingungkan']","['error', 'barusan', 'bayar', 'hasanah', 'card', 'transaksi', 'gagal', 'saldo', 'terpotong', 'membingungkan']","['error', 'barusan', 'bayar', 'hasanah', 'card', 'transaksi', 'gagal', 'saldo', 'potong', 'bingung']",-1,Negatif,0
aku dari kmrenn tf mandiri ke bsi ga masuk2 udah 24 jam😭😭😭,aku dari kmrenn tf mandiri ke bsi ga masuk2 udah 24 jam😭😭😭,aku dari kmrenn tf mandiri ke bsi ga masuk udah  jam,akun dari kmrenn transfer mandiri ke bsi tidak masuk sudah jam,"['akun', 'dari', 'kmrenn', 'transfer', 'mandiri', 'ke', 'bsi', 'tidak', 'masuk', 'sudah', 'jam']","['akun', 'kmrenn', 'transfer', 'mandiri', 'tidak', 'masuk', 'jam']","['akun', 'kmrenn', 'transfer', 'mandiri', 'tidak', 'masuk', 'jam']",-3,Negatif,0
BSI Aplikasi EROR sudah 3 hari ini,bsi aplikasi eror sudah 3 hari ini,bsi aplikasi eror sudah  hari ini,bsi aplikasi error sudah hari ini,"['bsi', 'aplikasi', 'error', 'sudah', 'hari', 'ini']","['aplikasi', 'error']","['aplikasi', 'error']",-2,Negatif,0
ngeri kali ya gimana nasibnya uang yg kita daftar haji lewat bsi ini aman gak ya,ngeri kali ya gimana nasibnya uang yg kita daftar haji lewat bsi ini aman gak ya,ngeri kali ya gimana nasibnya uang yg kita daftar haji lewat bsi ini aman gak ya,ngeri kali ya bagaimana nasibnya uang yang kita daftar haji lewat bsi ini aman tidak ya,"['ngeri', 'kali', 'ya', 'bagaimana', 'nasibnya', 'uang', 'yang', 'kita', 'daftar', 'haji', 'lewat', 'bsi', 'ini', 'aman', 'tidak', 'ya']","['ngeri', 'kali', 'nasibnya', 'uang', 'daftar', 'haji', 'aman', 'tidak']","['ngeri', 'kali', 'nasib', 'uang', 'daftar', 'haji', 'aman', 'tidak']",-2,Negatif,0
Ya Allah saya juga baru ngalamin pak.. kemaren tf dr mandiri ke bsi sampe skrg blm masuk pdahal transaksi sudah berhasil.. gimana caranya ya inii,ya allah saya juga baru ngalamin pak.. kemaren tf dr mandiri ke bsi sampe skrg blm masuk pdahal transaksi sudah berhasil.. gimana caranya ya inii,ya allah saya juga baru ngalamin pak kemaren tf dr mandiri ke bsi sampe skrg blm masuk pdahal transaksi sudah berhasil gimana caranya ya inii,ya allah saya juga baru ngalamin pak kemarin transfer dari mandiri ke bsi sampai sekarang belum masuk padahal transaksi sudah berhasil bagaimana caranya ya ini,"['ya', 'allah', 'saya', 'juga', 'baru', 'ngalamin', 'pak', 'kemarin', 'transfer', 'dari', 'mandiri', 'ke', 'bsi', 'sampai', 'sekarang', 'belum', 'masuk', 'padahal', 'transaksi', 'sudah', 'berhasil', 'bagaimana', 'caranya', 'ya', 'ini']","['allah', 'ngalamin', 'kemarin', 'transfer', 'mandiri', 'masuk', 'transaksi', 'berhasil']","['allah', 'ngalamin', 'kemarin', 'transfer', 'mandiri', 'masuk', 'transaksi', 'hasil']",1,Positif,1
"Sama bang kmrn trf dari BCA sudah terpotong saldonya ga masuk2 sampai skrg, mana nominalnya lumayan lg😭","sama bang kmrn trf dari bca sudah terpotong saldonya ga masuk2 sampai skrg, mana nominalnya lumayan lg😭",sama bang kmrn trf dari bca sudah terpotong saldonya ga masuk sampai skrg mana nominalnya lumayan lg,sama abang kemarin transfer dari baca sudah terpotong saldonya tidak masuk sampai sekarang mana nominalnya lumayan masuk,"['sama', 'abang', 'kemarin', 'transfer', 'dari', 'baca', 'sudah', 'terpotong', 'saldonya', 'tidak', 'masuk', 'sampai', 'sekarang', 'mana', 'nominalnya', 'lumayan', 'masuk']","['abang', 'kemarin', 'transfer', 'baca', 'terpotong', 'saldonya', 'tidak', 'masuk', 'nominalnya', 'lumayan', 'masuk']","['abang', 'kemarin', 'transfer', 'baca', 'potong', 'saldo', 'tidak', 'masuk', 'nominal', 'lumayan', 'masuk']",-3,Negatif,0
brusan tf dri cmbn ke bsi ga msuk2 tpi saldo berkurang 😴,brusan tf dri cmbn ke bsi ga msuk2 tpi saldo berkurang 😴,brusan tf dri cmbn ke bsi ga msuk tpi saldo berkurang ,brusan transfer dari cmbn ke bsi tidak masuk tapi saldo berkurang,"['brusan', 'transfer', 'dari', 'cmbn', 'ke', 'bsi', 'tidak', 'masuk', 'tapi', 'saldo', 'berkurang']","['brusan', 'transfer', 'cmbn', 'tidak', 'masuk', 'saldo', 'berkurang']","['brusan', 'transfer', 'cmbn', 'tidak', 'masuk', 'saldo', 'kurang']",-2,Negatif,0
"mending di BNI aja.... Alhamdulillah BNI nggak pernah bermasalah.... saya dari BSI, pindah ke BNI","mending di bni aja.... alhamdulillah bni nggak pernah bermasalah.... saya dari bsi, pindah ke bni",mending di bni aja alhamdulillah bni nggak pernah bermasalah saya dari bsi pindah ke bni,mending di bni saja alhamdulillah bni tidak pernah bermasalah saya dari bsi pindah ke bni,"['mending', 'di', 'bni', 'saja', 'alhamdulillah', 'bni', 'tidak', 'pernah', 'bermasalah', 'saya', 'dari', 'bsi', 'pindah', 'ke', 'bni']","['mending', 'bni', 'alhamdulillah', 'bni', 'tidak', 'bermasalah', 'pindah', 'bni']","['mending', 'bni', 'alhamdulillah', 'bni', 'tidak', 'masalah', 'pindah', 'bni']",-1,Negatif,0
untuk teman² yg sudah mengalami hal tersebut..apakh saldonya di kembalikan oleh pihak bsi atau tidak krna saya takut🥺,untuk teman² yg sudah mengalami hal tersebut..apakh saldonya di kembalikan oleh pihak bsi atau tidak krna saya takut🥺,untuk teman yg sudah mengalami hal tersebutapakh saldonya di kembalikan oleh pihak bsi atau tidak krna saya takut,untuk teman yang sudah mengalami hal tersebutapakh saldonya di kembalikan oleh pihak bsi atau tidak karena saya takut,"['untuk', 'teman', 'yang', 'sudah', 'mengalami', 'hal', 'tersebutapakh', 'saldonya', 'di', 'kembalikan', 'oleh', 'pihak', 'bsi', 'atau', 'tidak', 'karena', 'saya', 'takut']","['teman', 'mengalami', 'tersebutapakh', 'saldonya', 'kembalikan', 'tidak', 'takut']","['teman', 'alami', 'tersebutapakh', 'saldo', 'kembali', 'tidak', 'takut']",-1,Negatif,0
iya BSI lagi susah transaksi,iya bsi lagi susah transaksi,iya bsi lagi susah transaksi,iya bsi lagi sulit transaksi,"['iya', 'bsi', 'lagi', 'sulit', 'transaksi']","['iya', 'sulit', 'transaksi']","['iya', 'sulit', 'transaksi']",1,Positif,1
ayo BSI cepat ngasih tanggapan,ayo bsi cepat ngasih tanggapan,ayo bsi cepat ngasih tanggapan,ayo bsi cepat mengasih tanggapan,"['ayo', 'bsi', 'cepat', 'mengasih', 'tanggapan']","['ayo', 'cepat', 'mengasih', 'tanggapan']","['ayo', 'cepat', 'asih', 'tanggap']",2,Positif,1
"Sdh 3 hari, capek deck BSI","sdh 3 hari, capek deck bsi",sdh  hari capek deck bsi,sedih hari capek deck bsi,"['sedih', 'hari', 'capek', 'deck', 'bsi']","['sedih', 'capek', 'deck']","['sedih', 'capek', 'deck']",-1,Negatif,0
isi plsa juga dari bsi byond ga masuk tapi saldo nya uda di potong,isi plsa juga dari bsi byond ga masuk tapi saldo nya uda di potong,isi plsa juga dari bsi byond ga masuk tapi saldo nya uda di potong,isi ulang pulsa juga dari bsi byond tidak masuk tapi saldo ya sudah di potong,"['isi', 'ulang', 'pulsa', 'juga', 'dari', 'bsi', 'byond', 'tidak', 'masuk', 'tapi', 'saldo', 'ya', 'sudah', 'di', 'potong']","['isi', 'ulang', 'pulsa', 'tidak', 'masuk', 'saldo', 'potong']","['isi', 'ulang', 'pulsa', 'tidak', 'masuk', 'saldo', 'potong']",-3,Negatif,0
saya jugak sudah kenak bang....saya transfer uang dari BCA ke BSI sudah tiga hari tidak masuk,saya jugak sudah kenak bang....saya transfer uang dari bca ke bsi sudah tiga hari tidak masuk,saya jugak sudah kenak bangsaya transfer uang dari bca ke bsi sudah tiga hari tidak masuk,saya juga sudah kenak bangsaya transfer uang dari baca ke bsi sudah tiga hari tidak masuk,"['saya', 'juga', 'sudah', 'kenak', 'bangsaya', 'transfer', 'uang', 'dari', 'baca', 'ke', 'bsi', 'sudah', 'tiga', 'hari', 'tidak', 'masuk']","['kenak', 'bangsaya', 'transfer', 'uang', 'baca', 'tidak', 'masuk']","['nak', 'bangsaya', 'transfer', 'uang', 'baca', 'tidak', 'masuk']",-2,Negatif,0
"sy PG td jg transfer ke BSI cab.a yani.bogor.lancar aja ko,, langsung masuk","sy pg td jg transfer ke bsi cab.a yani.bogor.lancar aja ko,, langsung masuk",sy pg td jg transfer ke bsi caba yanibogorlancar aja ko langsung masuk,saya pagi tadi juga transfer ke bsi caba yanibogorlancar saja kok langsung masuk,"['saya', 'pagi', 'tadi', 'juga', 'transfer', 'ke', 'bsi', 'caba', 'yanibogorlancar', 'saja', 'kok', 'langsung', 'masuk']","['pagi', 'transfer', 'caba', 'yanibogorlancar', 'langsung', 'masuk']","['pagi', 'transfer', 'caba', 'yanibogorlancar', 'langsung', 'masuk']",-1,Negatif,0
solusinya apa,solusinya apa,solusinya apa,solusinya apa,"['solusinya', 'apa']",['solusinya'],['solusi'],1,Positif,1
Kaya apa menyetor haji pak,kaya apa menyetor haji pak,kaya apa menyetor haji pak,kayak apa menyetor haji pak,"['kayak', 'apa', 'menyetor', 'haji', 'pak']","['kayak', 'menyetor', 'haji']","['kayak', 'setor', 'haji']",-1,Negatif,0
